项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,417b944,李通洲,2025-12-05T13:12:11Z,Doc: updates changelog,https://github.com/fastfetch-cli/fastfetch/commit/417b944e1c7daa72b22fc1f09f1b8efb6b7534e4
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,cb8b4b3,李通洲,2025-12-05T13:10:19Z,FFstrbuf: removes an unnecessary `return`,https://github.com/fastfetch-cli/fastfetch/commit/cb8b4b335d4a2e7ddb02a0a05c37b9ad825e2984
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,c016053,李通洲,2025-12-05T13:09:00Z,Zpool: fixes inconsistant CMake variables,https://github.com/fastfetch-cli/fastfetch/commit/c0160537b0e029864e3b2cf6e54813c65cff7800
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,4cb7a64,李通洲,2025-12-05T13:08:28Z,Logo (Builtin): tidy,https://github.com/fastfetch-cli/fastfetch/commit/4cb7a6424a3df78906c3448921c50a53d86652ea
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,7d6c79d,李通洲,2025-12-05T02:41:18Z,Doc: documents `-c -`,https://github.com/fastfetch-cli/fastfetch/commit/7d6c79d73e6d60cc9e0158069100e9c09a327f33
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,8652737,李通洲,2025-12-05T02:30:51Z,Fastfetch: enhances config file loading with support for config directory  Fixes #2080,https://github.com/fastfetch-cli/fastfetch/commit/8652737f6471328c408a85f8071ed5aa37c26674
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,d6ac89e,李通洲,2025-12-04T07:37:19Z,Release: v2.56.0,https://github.com/fastfetch-cli/fastfetch/commit/d6ac89ea8d3f137583dafe493ca1823bd86d9846
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,2b620cf,李通洲,2025-12-04T07:59:55Z,CI (SunOS): fixes a CI error,https://github.com/fastfetch-cli/fastfetch/commit/2b620cf4879406fe994ba9e4d4c2db513ea62270
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,f644df4,李通洲,2025-12-04T07:21:27Z,CPU: exposes numa node count in custom format,https://github.com/fastfetch-cli/fastfetch/commit/f644df481cbad6828c419b9839ea481d3ae2c6a6
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,e99ecac,李通洲,2025-12-02T07:38:19Z,Chore: adds `ffIsValidNativeFD` and uses it,https://github.com/fastfetch-cli/fastfetch/commit/e99ecacb52727ae22bc018689345a719a2062b9b
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,3e22dd4,李通洲,2025-12-02T07:37:30Z,Chore: uses `_WIN32` always,https://github.com/fastfetch-cli/fastfetch/commit/3e22dd4b0e08c58f07355e7bdafe569f6e82f383
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,19f30ec,Noa Himesaka,2025-12-03T01:09:07Z,Logo (Builtin): updates Codex Linux new logo (#2071)  * fix: Codex Linux new logo  reMarkable changed their logo so reflecting that change here too  * Modify ASCII art in codex.txt  ---------  Co-authored-by: Carter Li <CarterLi@users.noreply.github.com>,https://github.com/fastfetch-cli/fastfetch/commit/19f30ec6878d8c9c62aa9a56616a4d437a85855e
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,76bee78,Alxhr0,2025-12-03T01:00:09Z,Chore: fixes comment for AerynOS in builtin.c (#2078),https://github.com/fastfetch-cli/fastfetch/commit/76bee7820048cbf541b479e760c8f29d9d0b708f
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,ce7455d,李通洲,2025-12-01T09:17:46Z,Zpool: allows disabling module,https://github.com/fastfetch-cli/fastfetch/commit/ce7455d8f0c1fd3f4153309f0328628313e3d323
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,5e27ee0,李通洲,2025-12-01T02:04:17Z,Shell: fixes ksh version detection on Linux,https://github.com/fastfetch-cli/fastfetch/commit/5e27ee0f57315b6656d2e293c42004ab1835679c
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,84a5c6e,全てずんだもんの所爲です,2025-12-01T01:10:07Z,Packages (Linux): add kiss packages count (#2072),https://github.com/fastfetch-cli/fastfetch/commit/84a5c6ebe811b7dd875fe5952f13f3be73b5fb0f
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,ad7e23f,李通洲,2025-11-28T08:35:14Z,TerminalFont: supports the newest Alacritty config format  Fixes #2070,https://github.com/fastfetch-cli/fastfetch/commit/ad7e23f64c2c857ca388ebe0bc6003e6ae201704
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,2738f20,李通洲,2025-11-28T03:06:23Z,GPU (Linux): detect driver specific info for zhaoxin,https://github.com/fastfetch-cli/fastfetch/commit/2738f20eea202b8e570d50697b8567fe410fbacb
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,09362b2,李通洲,2025-11-25T11:10:43Z,Util (Windows): fixes compiling,https://github.com/fastfetch-cli/fastfetch/commit/09362b236c6891b90e13c2915a0a1586f291b402
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,3cfef81,Carter Li,2025-11-25T11:04:36Z,Users (Linux): always report the newest session info,https://github.com/fastfetch-cli/fastfetch/commit/3cfef81877bf6c08436e4df7e8108055704ebe70
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,3a04ae2,Carter Li,2025-11-25T08:40:52Z,Users (Linux): adds systemd fallback for user detection on Linux  Fixes #2064,https://github.com/fastfetch-cli/fastfetch/commit/3a04ae254279640ab97e8f10d9b2c06685cf7e74
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,dbaf8a3,Carter Li,2025-11-25T07:02:02Z,FFstrbuf: adds `ffStrbufGetdelim(Restore)`,https://github.com/fastfetch-cli/fastfetch/commit/dbaf8a319dbc0dc192528754ec84c56288ce2c7f
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,2fe2a21,Carter Li,2025-11-25T02:33:57Z,Terminal: reports `sshd` if `$SSH_TTY` is not available,https://github.com/fastfetch-cli/fastfetch/commit/2fe2a21bfe95396c6f75cfc0aee285baab48d2be
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,37639c3,Carter Li,2025-11-25T02:32:42Z,Utils: inlines `ffIsAbsolutePath`,https://github.com/fastfetch-cli/fastfetch/commit/37639c3582e5ffc0d765917f317423ec309d83a6
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,9a74e6d,李通洲,2025-11-25T06:32:24Z,Users (Linux): adds missing `endutxent`,https://github.com/fastfetch-cli/fastfetch/commit/9a74e6d7bcef08bc8333d076e7ae32b76361aa4c
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,5d13389,Carter Li,2025-11-25T01:09:58Z,TerminalShell: uses absolute path when detecting version if available  Closes #2067,https://github.com/fastfetch-cli/fastfetch/commit/5d13389827d51658156a1afe291986f98098afb3
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,1c2c664,李通洲,2025-11-24T07:01:18Z,DE: adds Android OEM UI detection  Ref #1900,https://github.com/fastfetch-cli/fastfetch/commit/1c2c6644d593594327e069ba480af5077f590043
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,ffcddf3,李通洲,2025-11-24T06:18:45Z,Logo: improve builtin logo printing for piping and buffering  Fixes #2065,https://github.com/fastfetch-cli/fastfetch/commit/ffcddf30e383695f5a74868ef4c5a2e0bd884de4
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,22c92c7,李通洲,2025-11-21T07:51:53Z,Doc: recommand Ubuntu PPA [ci skip],https://github.com/fastfetch-cli/fastfetch/commit/22c92c7b058336520dab9d429ef6c60df101bd8b
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,b569048,李通洲,2025-11-21T07:51:23Z,CMake (SunOS): remove static link of `libzfs`,https://github.com/fastfetch-cli/fastfetch/commit/b5690480104fa0f527c337ce303ce72b4584b1dc
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,f703d9a,李通洲,2025-11-20T10:18:25Z,Zpool: simplifies implementation by dropping platform-specific code,https://github.com/fastfetch-cli/fastfetch/commit/f703d9ac8956d2cd404e2e3ddc315f92b2e46fdc
fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,ed6abfd,Steve Gilissen,2025-11-20T02:16:19Z,Logo (Builtin): adds OS/2 Warp logo (#2062)  * Add OS2 Warp logo  * Update ASCII art in os2warp.txt  * Refactor OS/2 Warp logo names for consistency  ---------  Co-authored-by: Carter Li <CarterLi@users.noreply.github.com>,https://github.com/fastfetch-cli/fastfetch/commit/ed6abfd6264350b1428a0b3217864dd56a901a00
