项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
curl/curl,https://github.com/curl/curl,af5def0,Viktor Szakats,2025-12-04T21:48:20Z,"tidy-up: avoid `(())`, clang-format fixes and more  - drop redundant parentheses from macro definitions. - apply clang-format in some places missed earlier. - wolfssl: fix a macro guard comment. - curl_setup.h: drop empty lines - FAQ: fix C formatting.  Closes #19854",https://github.com/curl/curl/commit/af5def0738dd53db84a23221be9bf352d8708917
curl/curl,https://github.com/curl/curl,4e051ff,Viktor Szakats,2025-12-04T22:54:25Z,"curlx: limit use of system allocators to the minimum possible  Clone a multibye conversion function into curlx/fopen, and use that local copy from curlx/fopen functions. Adjust allocators in curlx/fopen to use curl's in normal builds, and system allocators in TrackMemory builds to avoid recursion.  This allows to switch curlx/multibyte functions to curl allocators in all configurations, as they are no longer called by curlx/fopen, and a recursive call can no longer happen.  After this patch the system allocator is only used in TrackMemory Windows builds, within curlx `fopen`, `freopen`, `stat` and `open` functions.  Also: - test 1, 440, 767: raise allocation limitsto fit the extra allocations   in Windows Unicode builds. - replace all uses of `curlx_unicodefree()` macro with `curlx_free()`   across the codebase. - curlx/multibyte: delete `curlx_unicodefree()`. - ldap: join Windows and non-Windows codepaths that became   identical after moving from `curlx_unicodefree()` to `curlx_free()`. - vauth: drop a strdup from standard to curl allocator since   the original allocation is now already done by curl's. - tool_doswin: drop now superfluous strdup from `FindWin32CACert()`. - memanalyzer.pm: sync weirdo `calloc` log message with `malloc`'s.  Fixes #19748 Closes #19845",https://github.com/curl/curl/commit/4e051ff5506319ee87e3656be8f76b01de217103
curl/curl,https://github.com/curl/curl,2d6ade1,Viktor Szakats,2025-12-05T11:43:37Z,"ldap: improve detection of Apple LDAP  When detecting the Apple fork of ""legacy"" LDAP, replace the `__APPLE__` macro (which can be present also when using an old mainline OpenLDAP while building for an Apple platform) with `LDAP_OPT_X_TLS_PASSPHRASE` which is an Apple-specific macro, merged by Apple in 2007, later adding the comment 'Apple Specific code'. This macro hasn't been retrofitted to OpenLDAP since then, and unlikely to happen in the future.  Refs: https://github.com/apple-oss-distributions/OpenLDAP/commit/c4d990a6cfa0cb71d6dffe6f6aeeb722fd7c627b#diff-0f7a5f85bae4de860b70aabf34aa12b0ecc37e748cd96e203e2d8ddb30a207c3R145 https://github.com/apple-oss-distributions/OpenLDAP/commit/49ac28a486d72f36cd9713b41180b41d34f18ef6#diff-0f7a5f85bae4de860b70aabf34aa12b0ecc37e748cd96e203e2d8ddb30a207c3R166  Follow-up to 859ce48de12986f5bf846c2800dacab893ff12c1 #19832 Closes #19849",https://github.com/curl/curl/commit/2d6ade19fc4261e22e9d32a00bf60eabb8694bcb
curl/curl,https://github.com/curl/curl,8d9aa6d,Stefan Eissing,2025-12-02T14:53:29Z,"tests/servers: put unix-domain-path inside LOGDIR  Change Unix domain socket paths from `/tmp/curl-socksd-<random>` to `/drive/path/to/LOGDIR/PIDDIR/*-uds` to avoid having to create and delete them before use. Also to use a path which remains an absolute one while passed from MSYS2 Perl to native Windows curl tool and test server via the command-line, and keep pointing to the same location, fixing: ``` === Start of file commands.log ../src/curl.exe -q --output log/3/curl1468.out --include --trace-ascii log/3/trace1468   --trace-time http://this.is.a.host.name:64405/1468   --proxy socks5h://localhost/tmp/curl-socksd-YnbvRo98 [...] === End of file commands.log === Start of file socks2_server.log [...] 14:11:54.597968 Listening on Unix socket D:/a/_temp/msys64/tmp/curl-socksd-YnbvRo98 ``` Ref: https://github.com/curl/curl/actions/runs/19896583933/job/57028545111?pr=19812  The curl tool is pending #19825 to fix accepting an absolute unix domain socket path on Windows.  Assisted-by: Viktor Szakats Closes #19810",https://github.com/curl/curl/commit/8d9aa6d6e12cb35b074dd66da454795c8808a41b
curl/curl,https://github.com/curl/curl,68a44ed,Daniel Stenberg,2025-12-05T07:51:11Z,TODO: remove a mandriva.com reference  It's a casino now,https://github.com/curl/curl/commit/68a44edd500ac36754eea4f80beb5dcbe8534723
curl/curl,https://github.com/curl/curl,859ce48,Viktor Szakats,2025-12-04T14:32:44Z,"ldap: detect version of ""legacy"" LDAP  Legacy LDAP means an OpenLDAP-compatible implementation without the private API `ldap_init_fd()` introduced in OpenLDAP 2.4.6+ (2007-10-31), and not WinLDAP.  One known example is Apple's LDAP build, which is based on OpenLDAP 2.4.28 (2011-11-25), without providing this private API.  The version query API was introduced around 1998-1999, before the minimum (2.0 2000-08-01) required by curl.  Follow-up to 3e2a946926853608d67805bd9f4a58345fff364a #19808 Closes #19832",https://github.com/curl/curl/commit/859ce48de12986f5bf846c2800dacab893ff12c1
curl/curl,https://github.com/curl/curl,f1f76e0,Daniel Stenberg,2025-12-04T18:01:02Z,"url: if curl_url_get() fails due to OOM, error out properly  Even if the scheme is ""file""!  Closes #19838",https://github.com/curl/curl/commit/f1f76e0ea83921000f228ce49748047e33e1e46d
curl/curl,https://github.com/curl/curl,a153126,Daniel Stenberg,2025-12-04T18:57:44Z,"CURLMOPT_SOCKETFUNCTION.md: fix the callback argument use  The example code does not use curl_multi_assign(), but its callback function used socketp (called sockp in the function) to get the struct priv pointer instead of the correct clientp (cbp).  Reported-by: Greg Hudson Fixes #19840 Closes #19841",https://github.com/curl/curl/commit/a1531261b1ed6d0936646794cc169eb6f55bf3ff
curl/curl,https://github.com/curl/curl,ebe6fa0,Viktor Szakats,2025-12-04T19:11:45Z,docs/libcurl: fix C formatting nits  Closes #19844,https://github.com/curl/curl/commit/ebe6fa08c9df12aa1c66cacf49a6e503a6e45d02
curl/curl,https://github.com/curl/curl,6d04227,Viktor Szakats,2025-12-04T19:28:34Z,"openssl: simplify `HAVE_KEYLOG_CALLBACK` guard  non-LibreSSL always includes BoringSSL and AWS-LC, no need to check for them explicitly.  Follow-up to 69c89bf3d3137fcbb2b8bc57233182adcf1e2817 #18330 Closes #19843",https://github.com/curl/curl/commit/6d042273cde6e4f0fd3ea0af25b37c96356ac9c6
