项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
php/php-src,https://github.com/php/php-src,4cc5f02,David Carlier,2025-12-04T23:25:42Z,Merge branch 'PHP-8.5'  * PHP-8.5:   ext/gd: fix build,https://github.com/php/php-src/commit/4cc5f0238746704ae683676c0be4b97b7dbc9a11
php/php-src,https://github.com/php/php-src,e910bbf,David Carlier,2025-12-04T23:25:29Z,ext/gd: fix build,https://github.com/php/php-src/commit/e910bbf14404f55ec2e18a571a0f62c1e8e78c72
php/php-src,https://github.com/php/php-src,8504b18,David Carlier,2025-12-04T23:16:22Z,Merge branch 'PHP-8.5'  * PHP-8.5:   Fix GH-20622: imagestring/imagestringup overflow/underflow.,https://github.com/php/php-src/commit/8504b18a343e3e3ec55cdfaed3c502740aca6f6e
php/php-src,https://github.com/php/php-src,400aa84,David Carlier,2025-12-04T23:16:08Z,Merge branch 'PHP-8.4' into PHP-8.5  * PHP-8.4:   Fix GH-20622: imagestring/imagestringup overflow/underflow.,https://github.com/php/php-src/commit/400aa844a686cdc93d7fa281191caba85a9563b1
php/php-src,https://github.com/php/php-src,2c2852a,David Carlier,2025-12-04T23:14:01Z,Merge branch 'PHP-8.3' into PHP-8.4  * PHP-8.3:   Fix GH-20622: imagestring/imagestringup overflow/underflow.,https://github.com/php/php-src/commit/2c2852ae8ea6fa4adea6e11830ae7f1aa63f1303
php/php-src,https://github.com/php/php-src,9f654de,David Carlier,2025-11-29T22:19:37Z,Fix GH-20622: imagestring/imagestringup overflow/underflow.  close GH-20623,https://github.com/php/php-src/commit/9f654decdc12cad9575c6ebecb28adf0172e20bd
php/php-src,https://github.com/php/php-src,fc592c7,Alexandre Daubois,2025-12-04T16:09:36Z,WeakMap: convert zend_parse_parameters_none() to fast ZPP (#20643),https://github.com/php/php-src/commit/fc592c78f22c6e542f066c4c579c6a7da597f8b9
php/php-src,https://github.com/php/php-src,f35a497,Ilija Tovilo,2025-12-04T12:51:57Z,Merge branch 'PHP-8.5'  * PHP-8.5:   Fix warning on 8.5,https://github.com/php/php-src/commit/f35a497b9db9daca292999838044d82c437602c9
php/php-src,https://github.com/php/php-src,f39ae2f,Ilija Tovilo,2025-12-04T12:51:16Z,Fix warning on 8.5,https://github.com/php/php-src/commit/f39ae2fc67a1905a90783edc44aa699e6a6bb5f1
php/php-src,https://github.com/php/php-src,3f1409b,Alexandre Daubois,2025-12-04T08:12:35Z,Merge branch 'PHP-8.5'  * PHP-8.5:   Fix GH-20370: forbid user stream filters to violate typed property constraints (#20373),https://github.com/php/php-src/commit/3f1409b024ea59635ca239cdabbdd22b3d3a202c
php/php-src,https://github.com/php/php-src,d74085b,Alexandre Daubois,2025-12-04T08:11:52Z,Merge branch 'PHP-8.4' into PHP-8.5  * PHP-8.4:   Fix GH-20370: forbid user stream filters to violate typed property constraints (#20373),https://github.com/php/php-src/commit/d74085bf8c7f5f3ca2cf50282467a09239dd319d
php/php-src,https://github.com/php/php-src,175548e,Alexandre Daubois,2025-12-04T08:11:09Z,Merge branch 'PHP-8.3' into PHP-8.4  * PHP-8.3:   Fix GH-20370: forbid user stream filters to violate typed property constraints (#20373),https://github.com/php/php-src/commit/175548e868bbd94315d528366bfc31a40500ddeb
php/php-src,https://github.com/php/php-src,77f2d12,Alexandre Daubois,2025-12-04T08:09:30Z,Fix GH-20370: forbid user stream filters to violate typed property constraints (#20373),https://github.com/php/php-src/commit/77f2d1284942aa69db806239954875d9b5f510e0
php/php-src,https://github.com/php/php-src,114260b,Niels Dossche,2025-12-03T21:30:26Z,Merge branch 'PHP-8.5'  * PHP-8.5:   Fix GH-20631: Integer underflow in exif HEIF parsing,https://github.com/php/php-src/commit/114260bdc4ede32021f4d485356d9d5802cfa1f9
php/php-src,https://github.com/php/php-src,6a0da6d,Oblivionsage,2025-12-02T17:57:05Z,"Fix GH-20631: Integer underflow in exif HEIF parsing  When pos.size is less than 2, the subtraction pos.size - 2 causes an unsigned integer underflow, resulting in a ~4GB allocation attempt.  Add minimum size check (pos.size >= 2) to prevent the underflow.  Closes GH-20630.",https://github.com/php/php-src/commit/6a0da6dc2e53875ee98edfa4ec89a76585897a78
php/php-src,https://github.com/php/php-src,d998a79,Niels Dossche,2025-12-03T21:17:30Z,Merge branch 'PHP-8.5'  * PHP-8.5:   xml: Fix deprecation properly by backporting the modern-but-actually-old implementation,https://github.com/php/php-src/commit/d998a791daf4d540f6f1e4dc2211e23ee14f81f9
