项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
TheAlgorithms/C,https://github.com/TheAlgorithms/C,e5dad3f,David Leal,2023-09-27T18:35:39Z,"feat: use directory workflow from the `scripts` repository (#1278)  * feat: use directory workflow from the...
 
 ...`scripts` repository.
 
 * fix: `on` event
 
 * chore: run directory workflow daily",https://github.com/TheAlgorithms/C/commit/e5dad3fa8def3726ec850ca66a7f51521f8ad393
TheAlgorithms/C,https://github.com/TheAlgorithms/C,db3d6e2,David Leal,2023-09-08T21:38:14Z,"feat: add Windows CI back (#1290)  Signed-off-by: realstealthninja <realstealthninja@gmail.com>
 Co-authored-by: github-actions[bot] <github-actions@users.noreply.github.com>
 Co-authored-by: realstealthninja <68815218+realstealthninja@users.noreply.github.com>",https://github.com/TheAlgorithms/C/commit/db3d6e2886ba043b9b30f6448ca0bcf92e58e039
TheAlgorithms/C,https://github.com/TheAlgorithms/C,1302bf4,Ryan Bevin,2023-07-19T07:34:19Z,"fix: add missing `include` in CMakeLists #942 (#1285)  * fix: missing include file for cmake function
 
 * fix: using newer version of check include file
 
 ---------
 
 Co-authored-by: rbevin777 <rbevin7@gmail.com>",https://github.com/TheAlgorithms/C/commit/1302bf41df2cdb53d3292076950414df04fde533
TheAlgorithms/C,https://github.com/TheAlgorithms/C,518a7ca,David Leal,2023-07-19T03:00:14Z,"chore: add the linter to a separate Python script (#1272)  * updating DIRECTORY.md
 
 * chore: add the linter to a separate Python script
 
 ---------
 
 Co-authored-by: github-actions[bot] <github-actions@users.noreply.github.com>",https://github.com/TheAlgorithms/C/commit/518a7cafd50821c63eed4167a7852c7b2f30058f
TheAlgorithms/C,https://github.com/TheAlgorithms/C,1bbbac6,Ryan Bevin,2023-07-19T02:53:50Z,"chore: update CMake version #1271 (#1284)  * update cmake version
 
 * chore: Update cmake version
 
 * chore: Using latest version of cmake
 
 ---------
 
 Co-authored-by: rbevin777 <rbevin7@gmail.com>
 Co-authored-by: ryanbevin <ryanbevin@pop-os.localdomain>
 Co-authored-by: David Leal <halfpacho@gmail.com>",https://github.com/TheAlgorithms/C/commit/1bbbac6546a95ea304f220ae71b7efb960f44ca6
TheAlgorithms/C,https://github.com/TheAlgorithms/C,77522fd,David Leal,2023-07-19T02:41:49Z,fix: LeetCode directory writer (#1281),https://github.com/TheAlgorithms/C/commit/77522fdbc1d9960147032316cb00c47cfe3acb67
TheAlgorithms/C,https://github.com/TheAlgorithms/C,1a5b31d,David Leal,2023-07-19T02:39:51Z,"docs: update workflow versions in `README.md` (#1273)  * updating DIRECTORY.md
 
 * docs: update workflow versions in `README.md`
 
 Windows was removed from the list as the code is no longer being tested on Windows.
 
 ---------
 
 Co-authored-by: github-actions[bot] <github-actions@users.noreply.github.com>",https://github.com/TheAlgorithms/C/commit/1a5b31d3d1a4b7d043266fb9a2252a3829315b57
TheAlgorithms/C,https://github.com/TheAlgorithms/C,f241de9,David Leal,2023-07-03T01:41:54Z,chore: add codeowners (#1264),https://github.com/TheAlgorithms/C/commit/f241de90e1691dc7cfcafcbecd89ef12db922e6b
TheAlgorithms/C,https://github.com/TheAlgorithms/C,db69d0a,hemanth8819,2023-06-27T19:49:43Z,"feat: add LeetCode problem 69 (#1259)  * feat: add LeetCode problem 69
 
 Here is the code for the problem 69 of leetcode as there are many ways to do it we programmers need to find the most optimal way to solve a problem statement so i used binary-search approach inorder to solve it.
 All  suggestions are accepted!!!
 
 * Update 69.c
 
 I have updated the solution according to the suggestions.
 
 * Update 69.c
 
 * Update 69.c",https://github.com/TheAlgorithms/C/commit/db69d0a539d2248c61ce2849dd12f9487d998d64
TheAlgorithms/C,https://github.com/TheAlgorithms/C,f4ee574,David Leal,2023-06-23T18:04:53Z,fix: use correct branch name,https://github.com/TheAlgorithms/C/commit/f4ee5743afc648cfbd65cc6add1b7d7f983bd8c4
TheAlgorithms/C,https://github.com/TheAlgorithms/C,8a1a497,Ethan Fredsti,2023-06-20T21:07:09Z,"fix: change list length in `data_structures/list/list.c` (#1265)  I changed the return value of n in List_length to reflect the number of items inside the list, so a newly initialized list will return a length of 0.  To prevent items in List_toArray from being cut off, I addeone back to n at the beginning of the List_toArray function.",https://github.com/TheAlgorithms/C/commit/8a1a4972a58ea279162626cc66dc6b796a0423e5
TheAlgorithms/C,https://github.com/TheAlgorithms/C,8a3ff96,David Leal,2023-06-14T16:18:38Z,chore: run LeetCode directory writer on `main` only,https://github.com/TheAlgorithms/C/commit/8a3ff966e74f61b6ce75e174424a6939fb0451a7
TheAlgorithms/C,https://github.com/TheAlgorithms/C,b6b01a3,David Leal,2023-06-13T16:45:46Z,"feat: add `dynamic_programming` to CMake lists (#1266)  * feat: add `dynamic_programming` to CMake lists
 
 * updating DIRECTORY.md
 
 * chore: fix minor doc. issues and indentation
 
 ---------
 
 Co-authored-by: github-actions[bot] <github-actions@users.noreply.github.com>",https://github.com/TheAlgorithms/C/commit/b6b01a360549b5bd131d171639204aee7b524fd8
TheAlgorithms/C,https://github.com/TheAlgorithms/C,2e8374e,David Leal,2023-06-13T16:13:34Z,"chore: improve the LeetCode directory writer (#1276)  * chore: free-dependency LeetCode directory writer
 
 * updating DIRECTORY.md
 
 ---------
 
 Co-authored-by: github-actions[bot] <github-actions@users.noreply.github.com>",https://github.com/TheAlgorithms/C/commit/2e8374e5c14d7106442833a20428dc2843982436
TheAlgorithms/C,https://github.com/TheAlgorithms/C,b1a8da6,David Leal,2023-06-09T16:51:37Z,fix: missing `;` in `matrix_chain_order.c`,https://github.com/TheAlgorithms/C/commit/b1a8da69a87cd45e9db0cc340730e4a5e3b36201
TheAlgorithms/C,https://github.com/TheAlgorithms/C,e278f5d,Sahil Kandhare,2023-06-08T14:56:26Z,"feat: add Dynamic Stack implementation (#1261)  * Create dynamic_stack.c
 
 In this implementation, functions such as PUSH, POP, PEEK, show_capacity, isempty, and stack_size are coded to implement dynamic stack.
 
 * Update dynamic_stack.c
 
 Worked on Suggested Changes.
 
 * Update dynamic_stack.c
 
 Worked on suggested changes.
 
 * Update dynamic_stack.c
 
 * Update: Used Int type that are OS-independent
 
 ---------
 
 Co-authored-by: David Leal <halfpacho@gmail.com>",https://github.com/TheAlgorithms/C/commit/e278f5d74fe0ad4037f3e65272f5ab1c3026a7b2
TheAlgorithms/C,https://github.com/TheAlgorithms/C,01bc982,David Leal,2023-06-08T03:55:20Z,"feat: label when the build fails (#1254)  * feat: label when the build fails
 
 * updating DIRECTORY.md
 
 ---------
 
 Co-authored-by: Taj <tjgurwara99@users.noreply.github.com>
 Co-authored-by: github-actions[bot] <github-actions@users.noreply.github.com>",https://github.com/TheAlgorithms/C/commit/01bc982b9a0439c492c53c40b0daa45b031dbc92
TheAlgorithms/C,https://github.com/TheAlgorithms/C,05ff277,Samuel Pires,2023-06-02T16:43:21Z,"feat: add Secant Method (#1255)  * feat: add secant method
 
 * Apply suggestions from code review
 
 Co-authored-by: Sharon ""Cass"" Cassidy <monadicdiffusive@proton.me>
 
 * fixed indentation
 
 * added more tests
 
 * better clarification for the tolerance parameter
 
 * removed redundant comments
 
 * chore: apply suggestions from code review
 
 ---------
 
 Co-authored-by: Sharon ""Cass"" Cassidy <monadicdiffusive@proton.me>
 Co-authored-by: scpires <sc.pires@campus.fct.unl.pt>
 Co-authored-by: David Leal <halfpacho@gmail.com>",https://github.com/TheAlgorithms/C/commit/05ff277ebfd5fb8d21481349456454cac0600a6b
TheAlgorithms/C,https://github.com/TheAlgorithms/C,d222df7,David Leal,2023-05-30T16:30:13Z,[feat/docs]: improve the binary to decimal algorithm (#1263),https://github.com/TheAlgorithms/C/commit/d222df7dc17167540f2e674b517ef955c5a4e329
TheAlgorithms/C,https://github.com/TheAlgorithms/C,6915d59,Indrranil Pawar,2023-05-29T15:09:21Z,"feat: improve `conversions/binary_to_decimal.c` (#1262)  * Update binary_to_decimal.c
 
 1. Removed the unused variable remainder.
 
 2. Changed the variable name number to binary_number for clarity.
 
 3. Removed the initialisation of number and temp since they are assigned values later.
 
 4. Removed the newline character from the printf statement to improve readability.
 
 5.Added a return statement at the end of main function.
 
 * Update binary_to_decimal.c",https://github.com/TheAlgorithms/C/commit/6915d59738887b7674aa2a739701fbc7b0ff1919
TheAlgorithms/C,https://github.com/TheAlgorithms/C,a555d2d,David Leal,2023-05-16T18:39:34Z,chore: update the CodeQL workflow (#1246)  Co-authored-by: Taj <tjgurwara99@users.noreply.github.com>,https://github.com/TheAlgorithms/C/commit/a555d2dd07140c2cdf3b1811aaef087a6c999b92
TheAlgorithms/C,https://github.com/TheAlgorithms/C,aae2aac,David Leal,2023-05-12T18:26:32Z,"chore: minor LeetCode directory workflow improvements (#1247)  * updating DIRECTORY.md
 
 * chore: minor LeetCode directory work...
 
 ...flow improvements.
 
 * updating DIRECTORY.md
 
 ---------
 
 Co-authored-by: github-actions[bot] <github-actions@users.noreply.github.com>",https://github.com/TheAlgorithms/C/commit/aae2aac1ff58d42d97975bd70e8e00deda36bf1c
